County,Crime Rate per 100k,Murder,Rape,Robbery,Assault,Burglary,Larceny,MV Theft,Arson,Population,Avg_Rating,Median_Rating,Avg_Price,Rest_Count,Avg_Lat,Avg_Lng
"Gilmer County, WV",103.7822878,0,0,0,9,8,39,3,0,8672,3.5833333333333335,3.75,1.5,6,38.93384768963178,-80.84508426725726
"Republic County, KS",103.7344398,0,0,0,5,11,36,6,0,4820,4.1,4.5,1.8,5,39.81812980026268,-97.63643440310028
"Lincoln County, MS",103.4185579,2,5,8,21,154,395,15,8,34810,3.6,4.0,1.3548387096774193,45,31.57743683938395,-90.46178579310566
"LaSalle County, IL",103.4024763,0,14,14,88,424,1652,38,18,112183,3.84,4.0,1.7872340425531914,50,41.3417379140383,-88.88076991286704
"Lafayette County, MO",103.2085724,2,4,2,26,173,452,45,2,32943,3.4107142857142856,3.5,1.3846153846153846,28,39.11722101455926,-93.80371175965719
"Ashe County, NC",103.1269567,0,4,1,23,221,295,32,2,27151,3.5217391304347827,4.0,1.2333333333333334,46,36.40821561177958,-81.47253767138592
"Lincoln County, MN",102.915952,0,0,0,6,4,16,0,0,5830,4.8,5.0,2,15,44.375629283917014,-96.3041829848021
"Chouteau County, MT",102.5816379,0,0,0,6,1,18,3,0,5849,4.0,4.0,1.6944444444444444,50,47.599946814148595,-111.082075038613
"Monroe County, MO",102.5757921,0,2,0,7,24,59,7,1,8774,4.0125,4.25,1.1428571428571428,40,39.44471021897853,-91.95311057876513
"Hodgeman County, KS",102.5641026,0,1,0,1,18,6,0,0,1950,3.5789473684210527,4.0,1.2666666666666666,19,37.85119333935569,-99.95434510653105
"Bucks County, PA",102.396264,6,75,216,345,2121,9748,466,58,626976,4.11,4.0,2,50,40.31407152684656,-75.12336479177098
"Tipton County, IN",102.2364217,0,1,0,15,97,173,6,0,15650,3.3620689655172415,4.0,1.2857142857142858,29,40.25967825852662,-86.04738512204723
"Wythe County, VA",102.2355507,0,2,6,22,23,244,13,0,29344,3.25,3.5,1.380952380952381,50,36.950878625037824,-81.06107160974851
"Rockwall County, TX",102.0587718,1,10,6,69,261,1049,72,2,85245,4.08,4.0,1.68,50,32.91166396226265,-96.460304590624
"Monroe County, WI",101.5497373,0,4,3,39,175,917,31,7,45298,3.6,3.5,1.3703703703703705,40,43.993392664422096,-90.54426013148496
"Nelson County, VA",101.4267361,0,1,1,13,75,165,12,1,14789,3.775,3.5,1.5,20,37.79482031518114,-78.89429073959602
"Boundary County, ID",101.3544642,0,1,0,10,78,60,9,0,10853,4.25,4.0,1.7291666666666667,50,48.41027428537895,-116.50361042258716
"Stevens County, WA",101.3124568,0,10,1,33,316,537,66,1,43430,4.23,4.5,1.641025641025641,50,48.40359453284268,-117.8006226127796
"Sioux County, IA",101.3112571,0,3,1,31,61,103,5,1,34547,3.875,4.0,1.3846153846153846,16,43.07871009258687,-96.17370894019678
"Wilson County, TX",101.2814303,3,6,3,34,143,437,39,0,45418,3.097560975609756,3.5,1.1071428571428572,41,29.165252617002835,-98.1409683099119
"Greene County, VA",101.0423314,0,8,0,11,31,213,9,2,18804,3.36,3.5,1.263157894736842,25,38.24696474852156,-78.40230765517998
"Bonner County, ID",100.7395759,2,4,2,32,295,606,64,1,40699,4.15,4.0,1.6326530612244898,50,48.287266260553174,-116.54901087828674
"Platte County, MO",100.7394706,2,6,5,80,143,682,46,20,93310,4.09,4.0,1.553191489361702,50,39.33333110862462,-94.89315946788747
"Otter Tail County, MN",100.72767059999998,1,15,3,39,252,627,45,5,57581,3.5,3.5,1.8,11,46.408872430904474,-95.64201206884546
"Fayette County, TX",100.7211635,1,2,3,19,90,176,14,1,24821,3.9342105263157894,4.25,1.25,38,29.910722858255532,-96.88708750311278
